id,protocol,source,destination,sport,dport,avg_size,packet_count,packetssent,packetsreceived,bytessent,bytesreceived,avg_ttl,syn_count,fin_count,ack_count,created_at
1,6,192.168.101.13,34.139.124.58,57149,443,148,1,1,1,148,148,128,0,0,1,01:49.3
2,6,104.18.32.47,192.168.101.13,443,55868,60,1,1,1,60,60,61,0,0,1,01:54.6
3,6,104.18.39.21,192.168.101.13,443,64873,70.5,4,4,4,282,282,59,0,0,4,01:54.6
4,6,192.168.101.13,104.18.32.47,55868,443,54,1,1,1,54,54,128,0,0,1,01:54.6
5,6,192.168.101.13,104.18.39.21,64873,443,76.66666667,3,3,3,230,230,128,0,0,3,01:54.6
6,6,192.168.101.13,34.139.124.58,57149,443,530.3157895,19,19,19,10076,10076,128,0,0,19,01:54.6
7,6,34.139.124.58,192.168.101.13,443,57149,186.1818182,22,22,22,4096,4096,55,0,0,22,01:54.6
8,6,192.168.101.13,104.18.39.21,64873,443,144,1,1,1,144,144,128,0,0,1,02:00.0
9,6,192.168.101.13,3.233.158.112,63577,443,54,1,1,1,54,54,128,0,0,1,02:00.0
10,6,192.168.101.13,34.139.124.58,55935,443,54,1,1,1,54,54,128,0,0,1,02:00.0
11,6,192.168.101.13,4.213.25.242,51315,443,54,1,1,1,54,54,128,0,0,1,02:00.0
12,6,3.233.158.112,192.168.101.13,443,63577,307,2,2,2,614,614,53,0,1,2,02:00.0
13,6,34.139.124.58,192.168.101.13,443,55935,60,1,1,1,60,60,61,0,0,1,02:00.0
14,6,4.213.25.242,192.168.101.13,443,51315,60,1,1,1,60,60,61,0,0,1,02:00.0
15,6,104.18.32.47,192.168.101.13,443,55868,66,1,1,1,66,66,59,0,0,1,02:05.2
16,6,104.18.39.21,192.168.101.13,443,64873,103.8,5,5,5,519,519,59,0,0,5,02:05.2
17,6,192.168.101.13,104.18.32.47,55868,443,55,1,1,1,55,55,128,0,0,1,02:05.2
18,6,192.168.101.13,104.18.39.21,64873,443,88,3,3,3,264,264,128,0,0,3,02:05.2
19,6,192.168.101.13,74.125.24.188,57580,5228,54,1,1,1,54,54,128,0,0,1,02:05.2
20,6,40.104.122.146,192.168.101.13,443,50460,60,1,1,1,60,60,61,0,0,1,02:05.2
21,6,74.125.24.188,192.168.101.13,5228,57580,60,1,1,1,60,60,61,0,0,1,02:05.2
22,6,104.18.39.21,192.168.101.13,443,64873,69,2,2,2,138,138,59,0,0,2,02:15.9
23,6,172.64.155.209,192.168.101.13,443,58758,60,1,1,1,60,60,61,0,0,1,02:15.9
24,6,192.168.101.13,104.18.39.21,64873,443,82,1,1,1,82,82,128,0,0,1,02:15.9
25,6,192.168.101.13,172.64.155.209,58758,443,54,1,1,1,54,54,128,0,0,1,02:15.9
26,6,192.168.101.13,34.139.124.58,55935,443,55,1,1,1,55,55,128,0,0,1,02:15.9
27,6,192.168.101.13,40.104.122.146,50460,443,54,1,1,1,54,54,128,0,0,1,02:15.9
28,6,34.139.124.58,192.168.101.13,443,55935,66,1,1,1,66,66,54,0,0,1,02:15.9
29,6,51.105.71.137,192.168.101.13,443,64470,60,1,1,1,60,60,61,0,0,1,02:15.9
30,6,172.188.155.25,192.168.101.13,443,54128,60,1,1,1,60,60,61,0,0,1,02:21.2
31,6,192.168.101.13,172.188.155.25,54128,443,54,1,1,1,54,54,128,0,0,1,02:21.2
32,6,192.168.101.13,51.105.71.137,64470,443,54,1,1,1,54,54,128,0,0,1,02:21.2
33,6,192.168.101.13,74.125.24.188,57580,5228,55,1,1,1,55,55,128,0,0,1,02:21.2
34,6,34.139.124.58,192.168.101.13,443,57149,60,1,1,1,60,60,61,0,0,1,02:21.2
35,6,74.125.24.188,192.168.101.13,5228,57580,66,1,1,1,66,66,120,0,0,1,02:21.2
36,6,172.64.155.209,192.168.101.13,443,58758,66,1,1,1,66,66,59,0,0,1,02:26.6
37,6,192.168.101.13,172.64.155.209,58758,443,55,1,1,1,55,55,128,0,0,1,02:26.6
38,6,192.168.101.13,3.233.158.112,63577,443,54,1,1,1,54,54,128,0,0,1,02:26.6
39,6,192.168.101.13,34.139.124.58,57149,443,54,1,1,1,54,54,128,0,0,1,02:26.6
40,6,3.233.158.112,192.168.101.13,443,63577,60,1,1,1,60,60,61,0,0,1,02:26.6
41,6,104.18.32.47,192.168.101.13,443,55868,60,1,1,1,60,60,61,0,0,1,02:32.0
42,6,104.18.39.21,192.168.101.13,443,64873,68,3,3,3,204,204,59,0,0,3,02:32.0
43,6,172.188.155.25,192.168.101.13,443,54128,66,1,1,1,66,66,47,0,0,1,02:32.0
44,6,192.168.101.13,104.18.39.21,64873,443,82,2,2,2,164,164,128,0,0,2,02:32.0
45,6,192.168.101.13,172.188.155.25,54128,443,55,1,1,1,55,55,128,0,0,1,02:32.0
46,6,192.168.101.13,4.213.25.242,51315,443,54,1,1,1,54,54,128,0,0,1,02:32.0
47,6,192.168.101.13,40.104.122.146,50460,443,54,2,2,2,108,108,128,0,1,2,02:32.0
48,6,192.168.101.13,51.105.71.137,64470,443,55,1,1,1,55,55,128,0,0,1,02:32.0
49,6,4.213.25.242,192.168.101.13,443,51315,60,1,1,1,60,60,61,0,0,1,02:32.0
50,6,40.104.122.146,192.168.101.13,443,50460,54,1,1,1,54,54,115,0,1,1,02:32.0
51,6,51.105.71.137,192.168.101.13,443,64470,66,1,1,1,66,66,107,0,0,1,02:32.0
52,6,192.168.101.13,104.18.32.47,55868,443,54,1,1,1,54,54,128,0,0,1,02:37.5
53,6,192.168.101.13,34.139.124.58,57149,443,55,1,1,1,55,55,128,0,0,1,02:37.5
54,6,34.139.124.58,192.168.101.13,443,57149,66,1,1,1,66,66,55,0,0,1,02:37.5
55,6,172.188.155.25,192.168.101.13,443,54128,113,1,1,1,113,113,47,0,0,1,02:42.9
56,6,192.168.101.13,3.233.158.112,63577,443,55,1,1,1,55,55,128,0,0,1,02:42.9
57,6,192.168.101.13,34.139.124.58,55935,443,54,1,1,1,54,54,128,0,0,1,02:42.9
58,6,3.233.158.112,192.168.101.13,443,63577,60,1,1,1,60,60,53,0,0,1,02:42.9
59,6,34.139.124.58,192.168.101.13,443,55935,60,1,1,1,60,60,61,0,0,1,02:42.9
60,6,104.18.32.47,192.168.101.13,443,55868,66,1,1,1,66,66,59,0,0,1,02:48.3
61,6,104.18.39.21,192.168.101.13,443,64873,78,1,1,1,78,78,59,0,0,1,02:48.3
62,6,172.188.155.25,192.168.101.13,443,54128,95.33333333,3,3,3,286,286,47,0,0,3,02:48.3
63,6,192.168.101.13,104.18.32.47,55868,443,55,1,1,1,55,55,128,0,0,1,02:48.3
64,6,192.168.101.13,172.188.155.25,54128,443,84,3,3,3,252,252,128,0,0,3,02:48.3
65,6,192.168.101.13,74.125.24.188,57580,5228,54,1,1,1,54,54,128,0,0,1,02:48.3
66,6,74.125.24.188,192.168.101.13,5228,57580,60,1,1,1,60,60,61,0,0,1,02:48.3
67,6,104.18.39.21,192.168.101.13,443,64873,60,1,1,1,60,60,59,0,0,1,02:59.2
68,6,172.64.155.209,192.168.101.13,443,58758,60,1,1,1,60,60,61,0,0,1,02:59.2
69,6,192.168.101.13,104.18.39.21,64873,443,82,1,1,1,82,82,128,0,0,1,02:59.2
70,6,192.168.101.13,172.64.155.209,58758,443,54,1,1,1,54,54,128,0,0,1,02:59.2
71,6,192.168.101.13,34.139.124.58,55935,443,55,1,1,1,55,55,128,0,0,1,02:59.2
72,6,192.168.101.13,4.213.25.242,51315,443,55,1,1,1,55,55,128,0,0,1,03:04.6
73,6,192.168.101.13,51.105.71.137,64470,443,54,1,1,1,54,54,128,0,0,1,03:04.6
74,6,34.139.124.58,192.168.101.13,443,55935,66,1,1,1,66,66,54,0,0,1,03:04.6
