timestamp,source,destination,Protocol,src_port,dst_port,process,size,ttl,syn_flag,fin_flag,ack_flag,cpu_percent,mem_percent,active_connections
2025-11-20 06:38:59.718987,192.168.101.38,34.139.13.168,6,59151,53,teams.exe,1203,61,0,0,1,16.96,73.45,323
2025-11-20 06:38:59.728987,192.168.101.51,34.139.73.125,6,58877,443,chrome.exe,43,85,1,1,0,24.41,86.37,316
2025-11-20 06:38:59.738987,192.168.101.130,34.139.66.119,6,57369,25,chrome.exe,1367,108,1,1,0,29.05,40.32,124
2025-11-20 06:38:59.748987,192.168.101.248,34.139.41.57,17,56405,80,firefox.exe,397,97,0,0,0,10.04,53.19,16
2025-11-20 06:38:59.758987,192.168.101.73,34.139.184.113,17,51539,25,teams.exe,952,124,1,1,0,27.99,15.41,487
2025-11-20 06:38:59.768987,192.168.101.218,34.139.188.32,6,59924,25,firefox.exe,1180,95,0,0,1,30.06,86.19,475
2025-11-20 06:38:59.778987,192.168.101.97,34.139.38.179,17,3665,25,chrome.exe,1182,96,0,0,1,39.48,57.35,494
2025-11-20 06:38:59.788987,192.168.101.58,34.139.133.222,6,39042,22,chrome.exe,896,95,1,0,1,40.33,24.95,97
2025-11-20 06:38:59.798987,192.168.101.119,34.139.44.139,17,6965,80,zoom.exe,109,63,1,0,1,32.96,63.84,333
2025-11-20 06:38:59.808987,192.168.101.1,34.139.131.77,17,13172,22,zoom.exe,471,114,1,1,0,35.39,11.14,50
2025-11-20 06:38:59.818987,192.168.101.120,34.139.243.108,6,54623,53,firefox.exe,1464,116,0,0,0,46.37,80.8,275
2025-11-20 06:38:59.828987,192.168.101.188,34.139.31.43,17,17109,53,zoom.exe,1039,51,1,0,1,37.77,35.67,260
2025-11-20 06:38:59.838987,192.168.101.173,34.139.176.165,6,22614,443,chrome.exe,1146,96,0,0,0,13.84,46.98,384
2025-11-20 06:38:59.848987,192.168.101.242,34.139.235.69,17,34889,22,zoom.exe,635,57,0,1,1,0.56,79.74,110
2025-11-20 06:38:59.858987,192.168.101.88,34.139.203.211,17,47504,22,firefox.exe,1140,105,1,1,0,22.32,66.03,87
2025-11-20 06:38:59.868987,192.168.101.242,34.139.228.11,6,21429,25,chrome.exe,367,101,1,1,1,10.48,79.78,260
2025-11-20 06:38:59.878987,192.168.101.252,34.139.163.217,6,52359,22,msedge.exe,645,104,1,1,0,9.41,74.85,265
2025-11-20 06:38:59.888987,192.168.101.59,34.139.192.132,17,8606,80,zoom.exe,100,81,0,1,1,43.76,79.81,451
2025-11-20 06:38:59.898987,192.168.101.45,34.139.3.65,6,58197,22,chrome.exe,692,98,1,0,0,29.39,63.24,185
2025-11-20 06:38:59.908987,192.168.101.176,34.139.34.15,6,12177,22,chrome.exe,422,121,0,0,1,11.58,21.81,210
2025-11-20 06:38:59.918987,192.168.101.120,34.139.150.67,6,44459,22,chrome.exe,755,118,0,1,0,35.2,49.23,230
2025-11-20 06:38:59.928987,192.168.101.117,34.139.29.232,6,19332,443,zoom.exe,441,115,1,1,0,19.78,79.49,264
2025-11-20 06:38:59.938987,192.168.101.196,34.139.61.35,17,11787,80,teams.exe,1180,62,0,0,1,8.45,39.81,197
2025-11-20 06:38:59.948987,192.168.101.203,34.139.229.221,6,45040,53,firefox.exe,1181,69,1,0,0,19.19,80.14,331
2025-11-20 06:38:59.958987,192.168.101.234,34.139.145.196,17,19974,25,firefox.exe,808,96,1,1,1,3.11,35.64,200
2025-11-20 06:38:59.968987,192.168.101.177,34.139.59.25,17,12206,53,zoom.exe,665,61,1,1,1,22.64,53.78,145
2025-11-20 06:38:59.978987,192.168.101.89,34.139.18.18,17,53630,25,chrome.exe,1448,99,1,0,0,3.19,64.48,54
2025-11-20 06:38:59.988987,192.168.101.121,34.139.140.220,6,22829,443,firefox.exe,437,124,1,1,0,23.61,35.37,326
2025-11-20 06:38:59.998987,192.168.101.73,34.139.169.4,6,4327,80,msedge.exe,404,91,0,1,0,3.16,84.15,372
2025-11-20 06:39:00.008987,192.168.101.99,34.139.249.130,6,52241,53,zoom.exe,966,80,0,1,1,20.93,20.62,416
2025-11-20 06:39:00.018987,192.168.101.212,34.139.115.68,6,21858,53,msedge.exe,1081,127,0,0,0,47.63,20.84,457
2025-11-20 06:39:00.028987,192.168.101.190,34.139.49.104,6,26389,53,teams.exe,57,62,0,0,1,23.85,73.3,114
2025-11-20 06:39:00.038987,192.168.101.3,34.139.165.234,6,29592,80,teams.exe,329,62,0,0,0,24.71,71.76,61
2025-11-20 06:39:00.048987,192.168.101.35,34.139.106.187,6,13831,443,firefox.exe,828,100,0,1,0,16.52,20.99,335
2025-11-20 06:39:00.058987,192.168.101.104,34.139.175.128,17,23114,25,firefox.exe,745,125,0,1,0,49.25,43.94,413
2025-11-20 06:39:00.068987,192.168.101.116,34.139.111.25,17,21406,443,zoom.exe,1133,52,1,1,0,21.62,16.25,291
2025-11-20 06:39:00.078987,192.168.101.98,34.139.59.248,17,22746,443,firefox.exe,1016,65,0,0,0,42.3,18.9,225
2025-11-20 06:39:00.088987,192.168.101.23,34.139.140.59,6,26765,53,firefox.exe,1283,88,1,0,0,43.16,13.3,9
2025-11-20 06:39:00.098987,192.168.101.23,34.139.47.104,17,40662,443,zoom.exe,188,85,0,0,1,45.87,35.54,212
2025-11-20 06:39:00.108987,192.168.101.155,34.139.7.243,17,27441,443,msedge.exe,1405,120,1,0,1,41.57,63.25,450
2025-11-20 06:39:00.118987,192.168.101.197,34.139.70.40,6,47637,22,chrome.exe,559,71,1,1,1,16.57,89.77,465
2025-11-20 06:39:00.128987,192.168.101.71,34.139.167.43,6,7207,22,firefox.exe,938,87,1,0,1,47.84,40.4,12
2025-11-20 06:39:00.138987,192.168.101.184,34.139.15.41,17,52026,443,zoom.exe,1296,120,0,1,0,18.29,14.39,130
2025-11-20 06:39:00.148987,192.168.101.250,34.139.65.5,17,33336,25,zoom.exe,788,118,1,1,0,46.92,43.9,498
2025-11-20 06:39:00.158987,192.168.101.80,34.139.142.243,17,26660,53,msedge.exe,318,89,0,0,1,19.13,55.47,444
2025-11-20 06:39:00.168987,192.168.101.38,34.139.124.50,17,43177,22,msedge.exe,1296,108,1,1,0,17.2,78.22,82
2025-11-20 06:39:00.178987,192.168.101.186,34.139.231.125,17,39311,443,teams.exe,707,117,1,0,0,18.31,12.94,158
2025-11-20 06:39:00.188987,192.168.101.142,34.139.23.110,6,13425,22,teams.exe,1091,91,1,1,1,19.73,86.98,242
2025-11-20 06:39:00.198987,192.168.101.238,34.139.89.252,6,26201,25,zoom.exe,657,81,1,1,0,24.96,50.88,255
2025-11-20 06:39:00.208987,192.168.101.86,34.139.43.104,17,63517,22,teams.exe,1317,107,1,1,0,16.03,22.65,289
2025-11-20 06:39:00.218987,192.168.101.59,34.139.127.176,17,30284,25,teams.exe,546,112,1,0,1,8.0,50.38,189
2025-11-20 06:39:00.228987,192.168.101.117,34.139.163.226,17,8728,22,msedge.exe,1359,94,0,1,0,12.16,47.0,113
2025-11-20 06:39:00.238987,192.168.101.194,34.139.57.86,17,8131,22,chrome.exe,286,62,0,1,1,19.61,55.5,440
2025-11-20 06:39:00.248987,192.168.101.20,34.139.57.209,17,38163,443,chrome.exe,1381,90,1,1,0,42.66,73.56,393
2025-11-20 06:39:00.258987,192.168.101.180,34.139.193.201,17,42109,25,teams.exe,948,81,0,1,0,34.14,32.15,91
2025-11-20 06:39:00.268987,192.168.101.198,34.139.20.254,17,1293,22,firefox.exe,1008,92,1,1,0,0.19,44.74,331
2025-11-20 06:39:00.278987,192.168.101.234,34.139.187.52,6,62880,22,firefox.exe,65,100,0,1,1,20.45,62.12,201
2025-11-20 06:39:00.288987,192.168.101.238,34.139.249.62,6,31946,53,firefox.exe,1233,81,1,0,0,39.16,23.81,495
2025-11-20 06:39:00.298987,192.168.101.6,34.139.170.185,6,52131,25,chrome.exe,49,104,0,0,0,26.04,78.71,228
2025-11-20 06:39:00.308987,192.168.101.237,34.139.84.126,6,38892,80,firefox.exe,440,116,0,0,0,20.4,54.14,40
2025-11-20 06:39:00.318987,192.168.101.197,34.139.207.241,6,30861,25,msedge.exe,1243,127,0,1,0,20.05,57.33,206
2025-11-20 06:39:00.328987,192.168.101.13,34.139.77.38,17,25732,25,teams.exe,672,126,0,0,0,39.31,31.12,486
2025-11-20 06:39:00.338987,192.168.101.117,34.139.88.128,6,52301,22,teams.exe,455,119,0,1,1,21.69,72.72,166
2025-11-20 06:39:00.348987,192.168.101.115,34.139.7.141,6,16699,22,msedge.exe,242,115,1,1,0,12.65,88.98,178
2025-11-20 06:39:00.358987,192.168.101.54,34.139.239.123,6,55959,25,chrome.exe,1291,118,1,1,1,8.59,43.89,383
2025-11-20 06:39:00.368987,192.168.101.86,34.139.64.23,6,50100,25,msedge.exe,988,58,1,1,1,33.95,72.45,306
2025-11-20 06:39:00.378987,192.168.101.44,34.139.72.102,6,42133,80,msedge.exe,885,68,1,0,1,5.95,71.82,175
2025-11-20 06:39:00.388987,192.168.101.189,34.139.128.216,6,11157,53,chrome.exe,430,107,1,1,1,4.07,78.77,444
2025-11-20 06:39:00.398987,192.168.101.112,34.139.108.94,17,65049,25,chrome.exe,960,54,0,1,1,3.58,89.05,382
2025-11-20 06:39:00.408987,192.168.101.53,34.139.60.143,17,37598,25,zoom.exe,827,62,0,0,1,14.47,44.63,227
2025-11-20 06:39:00.418987,192.168.101.168,34.139.127.118,17,29634,25,chrome.exe,860,117,1,0,1,18.63,81.64,138
2025-11-20 06:39:00.428987,192.168.101.14,34.139.165.25,17,13587,80,msedge.exe,1184,118,0,1,0,13.44,75.96,195
2025-11-20 06:39:00.438987,192.168.101.188,34.139.235.152,6,41819,25,chrome.exe,467,109,1,1,0,18.31,68.64,437
2025-11-20 06:39:00.448987,192.168.101.47,34.139.60.2,6,48619,25,chrome.exe,1299,69,0,1,1,6.35,15.29,369
2025-11-20 06:39:00.458987,192.168.101.62,34.139.40.221,6,65039,80,zoom.exe,396,91,1,1,1,6.36,57.74,309
2025-11-20 06:39:00.468987,192.168.101.30,34.139.40.165,17,60255,22,msedge.exe,1026,125,1,1,0,46.75,19.09,429
2025-11-20 06:39:00.478987,192.168.101.213,34.139.190.22,17,28752,80,chrome.exe,434,81,1,1,1,13.61,27.97,338
2025-11-20 06:39:00.488987,192.168.101.59,34.139.98.228,17,41871,53,teams.exe,1038,119,1,1,1,3.79,73.49,5
2025-11-20 06:39:00.498987,192.168.101.128,34.139.187.206,17,14841,25,zoom.exe,119,77,1,1,0,29.22,18.45,435
2025-11-20 06:39:00.508987,192.168.101.90,34.139.123.135,6,32362,53,teams.exe,97,52,1,0,1,49.2,61.01,492
2025-11-20 06:39:00.518987,192.168.101.144,34.139.53.91,17,2920,22,msedge.exe,1221,50,1,0,1,14.92,25.65,84
2025-11-20 06:39:00.528987,192.168.101.78,34.139.60.49,6,3104,22,teams.exe,1298,92,1,1,0,2.5,33.66,182
2025-11-20 06:39:00.538987,192.168.101.179,34.139.74.54,6,39395,25,zoom.exe,947,103,0,1,1,20.47,60.64,470
2025-11-20 06:39:00.548987,192.168.101.25,34.139.222.251,17,61904,22,msedge.exe,566,50,1,0,0,31.35,13.57,273
2025-11-20 06:39:00.558987,192.168.101.93,34.139.6.236,17,38931,80,teams.exe,535,128,1,0,1,28.47,10.61,78
2025-11-20 06:39:00.568987,192.168.101.188,34.139.122.25,6,64255,53,zoom.exe,379,81,0,1,0,27.76,76.87,47
2025-11-20 06:39:00.578987,192.168.101.104,34.139.63.145,17,24615,25,chrome.exe,628,128,0,0,0,15.04,56.92,89
2025-11-20 06:39:00.588987,192.168.101.70,34.139.33.85,6,9118,80,teams.exe,1146,99,1,1,1,18.5,52.31,56
2025-11-20 06:39:00.598987,192.168.101.137,34.139.221.23,17,12076,443,msedge.exe,638,105,0,0,1,46.95,41.52,311
2025-11-20 06:39:00.608987,192.168.101.113,34.139.111.58,6,49865,22,zoom.exe,115,78,1,0,1,2.76,12.44,276
2025-11-20 06:39:00.618987,192.168.101.41,34.139.71.71,6,38480,443,zoom.exe,1493,104,0,1,1,42.99,31.49,155
2025-11-20 06:39:00.628987,192.168.101.59,34.139.209.56,6,51877,80,msedge.exe,611,81,0,1,0,14.5,29.16,122
2025-11-20 06:39:00.638987,192.168.101.172,34.139.29.196,17,25971,22,firefox.exe,1317,83,1,0,0,30.8,87.16,463
2025-11-20 06:39:00.648987,192.168.101.171,34.139.31.188,17,60217,53,teams.exe,371,108,0,1,1,44.33,15.44,363
2025-11-20 06:39:00.658987,192.168.101.177,34.139.67.20,17,1902,25,teams.exe,889,88,0,1,1,3.3,50.15,50
2025-11-20 06:39:00.668987,192.168.101.165,34.139.2.50,6,32056,53,zoom.exe,1019,117,1,0,1,29.06,58.27,160
2025-11-20 06:39:00.678987,192.168.101.64,34.139.103.200,6,13671,25,chrome.exe,1074,101,0,0,0,24.77,77.71,444
