timestamp,source,destination,Protocol,src_port,dst_port,process,size,ttl,syn_flag,fin_flag,ack_flag,cpu_percent,mem_percent,active_connections
2025-01-01 00:00:00,192.168.1.39,10.0.0.19,TCP,55393,723,system,395,201,0,0,0,23.66274632477935,28.42395491788018,166
2025-01-01 00:00:01,192.168.1.29,10.0.0.46,UDP,39549,749,system,757,237,0,0,1,6.245063804529481,56.738440695055715,159
2025-01-01 00:00:02,192.168.1.15,10.0.0.5,TCP,10433,775,sqlserver,683,155,0,0,0,4.187371604933691,10.623116813111338,105
2025-01-01 00:00:03,192.168.1.43,10.0.0.27,TCP,1580,3,steam,619,53,0,0,0,30.764696032539394,11.663905423846462,94
2025-01-01 00:00:04,192.168.1.8,10.0.0.41,TCP,34175,897,system,932,36,0,0,0,32.44680912128922,4.244392240690727,259
2025-01-01 00:00:05,192.168.1.21,10.0.0.13,TCP,16741,436,chrome,1466,66,0,0,1,14.84708605308346,29.955634094849135,34
2025-01-01 00:00:06,192.168.1.39,10.0.0.32,TCP,54695,573,sqlserver,786,145,0,0,1,5.921174262633466,3.10003572355099,6
2025-01-01 00:00:07,192.168.1.19,10.0.0.31,UDP,64210,407,steam,589,218,0,0,1,49.17901471509543,6.3335425502892315,219
2025-01-01 00:00:08,192.168.1.23,10.0.0.41,TCP,54661,397,sqlserver,607,74,0,0,1,29.641736042831408,15.3823362238554,240
2025-01-01 00:00:09,192.168.1.11,10.0.0.46,UDP,57266,573,discord,1431,218,0,0,0,41.35069094545813,35.785428605311374,83
2025-01-01 00:00:10,192.168.1.11,10.0.0.37,TCP,12968,934,discord,515,132,0,0,0,9.847364275369022,30.915583501813725,1
2025-01-01 00:00:11,192.168.1.24,10.0.0.2,UDP,53166,508,steam,769,158,0,0,0,18.01449178804473,36.69231645564551,147
2025-01-01 00:00:12,192.168.1.36,10.0.0.7,TCP,39056,428,discord,790,73,0,0,1,6.84075638795849,9.265467843030663,239
2025-01-01 00:00:13,192.168.1.40,10.0.0.48,TCP,18326,10,python,660,105,0,0,1,29.142807172240698,10.871323479936546,115
2025-01-01 00:00:14,192.168.1.24,10.0.0.11,TCP,24103,739,chrome,663,202,0,0,0,14.265275896223496,22.774018181215332,140
2025-01-01 00:00:15,192.168.1.3,10.0.0.11,TCP,62280,927,python,1020,123,0,0,1,36.27430530815049,33.69400877448864,84
2025-01-01 00:00:16,192.168.1.22,10.0.0.23,TCP,25085,417,steam,777,120,0,0,1,5.675152204487215,35.76880116724005,262
2025-01-01 00:00:17,192.168.1.2,10.0.0.31,TCP,46500,920,discord,945,236,0,0,1,10.990693388195261,2.044620442137448,149
2025-01-01 00:00:18,192.168.1.24,10.0.0.44,ICMP,56165,781,explorer,232,211,0,0,1,39.06553743108143,52.7971262351618,51
2025-01-01 00:00:19,192.168.1.44,10.0.0.45,UDP,41044,738,sqlserver,512,186,0,0,1,5.887185664269546,43.004767834150776,91
2025-01-01 00:00:20,192.168.1.30,10.0.0.8,UDP,46777,245,system,157,200,0,0,1,30.12905824775634,31.985290967133327,113
2025-01-01 00:00:21,192.168.1.38,10.0.0.32,TCP,53140,19,python,57,44,0,0,0,30.10686164653536,14.78028828508519,141
2025-01-01 00:00:22,192.168.1.2,10.0.0.48,UDP,44954,724,python,111,123,0,0,0,35.404931399619755,40.57739022940892,49
2025-01-01 00:00:23,192.168.1.21,10.0.0.21,TCP,6026,62,discord,153,90,0,0,1,30.472427064744796,57.82797181284897,194
2025-01-01 00:00:24,192.168.1.33,10.0.0.31,TCP,53798,707,system,719,186,0,1,0,28.694846114826902,35.30601263929175,129
2025-01-01 00:00:25,192.168.1.12,10.0.0.1,TCP,19165,595,steam,879,237,0,0,0,42.81271665921778,44.61077940748619,225
2025-01-01 00:00:26,192.168.1.22,10.0.0.13,TCP,41662,943,discord,66,138,1,0,1,37.76268279097251,52.4353371750517,178
2025-01-01 00:00:27,192.168.1.44,10.0.0.11,TCP,53275,543,chrome,1497,251,0,0,0,45.10656670972485,18.69950286947152,107
2025-01-01 00:00:28,192.168.1.25,10.0.0.29,TCP,34643,403,chrome,1194,232,0,0,0,13.29630874477606,46.07793646930787,242
2025-01-01 00:00:29,192.168.1.49,10.0.0.4,TCP,19630,42,steam,1111,227,0,0,1,34.82810980633852,17.490135757546508,195
2025-01-01 00:00:30,192.168.1.27,10.0.0.36,UDP,33004,219,steam,390,32,0,1,1,45.28496698425413,58.64784440098164,296
2025-01-01 00:00:31,192.168.1.42,10.0.0.15,UDP,34350,267,chrome,938,192,0,0,0,22.30227783572528,35.122829505590204,122
2025-01-01 00:00:32,192.168.1.28,10.0.0.3,TCP,16493,239,explorer,126,75,0,0,0,13.658468712992828,28.07813836015741,199
2025-01-01 00:00:33,192.168.1.16,10.0.0.29,TCP,5605,296,sqlserver,881,185,0,0,0,48.43122251763461,22.712850902726924,164
2025-01-01 00:00:34,192.168.1.15,10.0.0.21,UDP,12675,843,sqlserver,1265,224,0,0,0,38.479985003906776,29.740531902676572,297
2025-01-01 00:00:35,192.168.1.47,10.0.0.2,TCP,53436,465,system,908,36,0,0,0,14.524666747193113,44.28404957816692,12
2025-01-01 00:00:36,192.168.1.44,10.0.0.6,UDP,8465,866,steam,80,213,0,0,0,48.360087566411885,43.400006685876605,55
2025-01-01 00:00:37,192.168.1.3,10.0.0.31,UDP,47793,370,chrome,208,140,0,0,0,23.342897386032917,43.953989944225775,223
2025-01-01 00:00:38,192.168.1.37,10.0.0.24,TCP,29179,713,system,1020,125,0,0,0,33.36582573484826,5.525298214866401,117
2025-01-01 00:00:39,192.168.1.7,10.0.0.40,TCP,28252,423,sqlserver,1479,131,0,0,0,21.050268824533777,4.644218455759324,207
2025-01-01 00:00:40,192.168.1.21,10.0.0.17,ICMP,41891,490,system,47,77,0,0,1,33.801753198324484,38.97334641308323,59
2025-01-01 00:00:41,192.168.1.9,10.0.0.5,ICMP,21082,343,steam,457,56,0,0,0,24.47210471325592,41.471114513457096,67
2025-01-01 00:00:42,192.168.1.39,10.0.0.2,TCP,64756,904,python,1081,89,0,0,1,21.459568823496824,55.15140587418752,235
2025-01-01 00:00:43,192.168.1.18,10.0.0.12,TCP,60928,845,system,1064,131,0,0,0,2.687089356725329,15.369136323503744,243
2025-01-01 00:00:44,192.168.1.4,10.0.0.5,TCP,3106,674,steam,183,61,0,0,1,12.19511865069238,28.791688733558473,154
2025-01-01 00:00:45,192.168.1.25,10.0.0.42,TCP,48388,938,system,553,61,0,0,1,19.290753734840095,3.842687616138309,265
2025-01-01 00:00:46,192.168.1.14,10.0.0.41,UDP,35831,763,explorer,1377,73,0,1,1,5.84968007034429,25.408644278520004,2
2025-01-01 00:00:47,192.168.1.9,10.0.0.20,UDP,41587,721,explorer,1344,139,0,0,0,39.195129969390706,24.895724099735265,260
2025-01-01 00:00:48,192.168.1.26,10.0.0.8,TCP,49413,688,discord,913,220,1,0,0,29.58225565953272,37.102141759996705,39
2025-01-01 00:00:49,192.168.1.2,10.0.0.1,TCP,32827,620,explorer,672,126,0,0,1,21.688547481545164,3.606661537645898,284
2025-01-01 00:00:50,192.168.1.20,10.0.0.6,UDP,17507,102,system,139,97,0,0,1,39.07457162074177,2.855386762460361,67
2025-01-01 00:00:51,192.168.1.28,10.0.0.11,TCP,2692,911,python,531,191,0,0,1,31.080824725681133,41.164343269200586,194
2025-01-01 00:00:52,192.168.1.47,10.0.0.3,TCP,61675,287,sqlserver,950,41,0,1,0,31.334893207305566,23.621495178167233,92
2025-01-01 00:00:53,192.168.1.7,10.0.0.31,TCP,13983,47,system,947,222,0,0,0,16.762751605822416,18.787418507187386,129
2025-01-01 00:00:54,192.168.1.44,10.0.0.28,TCP,60326,48,python,695,169,0,0,1,39.81886815273552,9.356854936236335,225
2025-01-01 00:00:55,192.168.1.8,10.0.0.47,UDP,33022,387,chrome,290,148,0,0,1,12.414404442907681,57.62353161705361,49
2025-01-01 00:00:56,192.168.1.47,10.0.0.43,UDP,30444,301,explorer,362,177,0,0,0,3.0614622811676258,42.52523417837865,209
2025-01-01 00:00:57,192.168.1.35,10.0.0.5,TCP,28254,178,python,1247,195,0,0,1,14.917484460843278,35.40026773213211,267
